uid;Dataset Url;Panel Type;Panel;Number of Target Genes;Number of Add-on Genes;Number of Cells;Median Transcripts per Cell;Region Area;Total Cell Area;Sample ID at Source
10u63;https://www.10xgenomics.com/datasets/ffpe-human-brain-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard;Custom Add-on;Xenium Human Immuno-Oncology + Add-on;480;100;816769;157.0;104982461.9;67850192.2;
106xa;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Mouse Bone + Add-on;479;100;253560;70.0;51981815.5;21200292.4;0011218 xc127_mBone_PD594
10n1k;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Mouse Bone + Add-on;479;100;348141;65.0;75035165.8;35096560.8;0011218 xc127_mBone_PD594
10ndm;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Mouse Bone + Add-on;479;100;247876;69.0;55003268.3;24649648.6;0011218 xc127_mBone_PD594
10nsr;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Bone + Add-on;477;100;225906;27.0;26288545.2;13215979.4;0023651 xc127_hBone_PD549
10040;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Bone + Add-on;477;100;84518;7.0;23683543.7;10453594.0;0023651 xc127_hBone_PD549
10pui;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Custom Add-on;Xenium Human Bone + Add-on;477;100;33801;13.0;73260729.2;14564342.0;0023651 xc127_hBone_PD549
10sja;https://www.10xgenomics.com/datasets/fresh-frozen-mouse-colon-with-xenium-multimodal-cell-segmentation-1-standard;Predesigned;Xenium Mouse Tissue Atlassing;379;0;219797;195.0;37101037.1;14233339.2;0023732 Slide_1
10i70;https://www.10xgenomics.com/datasets/ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;140702;31.0;20121068.4;8747058.1;0023939 Slide_1
10uxy;https://www.10xgenomics.com/datasets/preview-data-ffpe-human-lung-cancer-with-xenium-multimodal-cell-segmentation-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;162254;46.0;30260670.3;11773649.1;0017509
10arp;https://www.10xgenomics.com/datasets/human-tonsil-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;1349620;50.0;80680119.3;60701485.0;0020205 xc123_hTonsil
1020d;https://www.10xgenomics.com/datasets/human-tonsil-data-xenium-human-multi-tissue-and-cancer-panel-1-standard;Predesigned;Xenium Human Multi-Tissue and Cancer;377;0;864388;60.0;83386258.0;53160220.7;0020205 xc123_hTonsil
